entry(00000,begin_of_process,bored,video3100831033,start,1).
entry(00001,begin_of_activity,bored,video3100831033,au02,1).
entry(00002,begin_of_activity,bored,video3100831033,au15,1).
entry(00003,begin_of_activity,bored,video3100831033,au17,1).
entry(00004,begin_of_activity,bored,video3100831033,au24,1).
entry(00100,end_of_activity,bored,video3100831033,au02,1).
entry(00101,end_of_activity,bored,video3100831033,au15,1).
entry(00102,end_of_activity,bored,video3100831033,au17,1).
entry(00103,end_of_activity,bored,video3100831033,au24,1).
entry(00200,begin_of_activity,bored,video3100831033,au02,2).
entry(00201,begin_of_activity,bored,video3100831033,au17,2).
entry(00202,begin_of_activity,bored,video3100831033,au24,2).
entry(00300,end_of_activity,bored,video3100831033,au02,2).
entry(00301,begin_of_activity,bored,video3100831033,au07,1).
entry(00302,end_of_activity,bored,video3100831033,au17,2).
entry(00303,end_of_activity,bored,video3100831033,au24,2).
entry(00400,begin_of_activity,bored,video3100831033,au02,3).
entry(00401,end_of_activity,bored,video3100831033,au07,1).
entry(00402,begin_of_activity,bored,video3100831033,au15,2).
entry(00403,begin_of_activity,bored,video3100831033,au17,3).
entry(00404,begin_of_activity,bored,video3100831033,au23,1).
entry(00405,begin_of_activity,bored,video3100831033,au24,3).
entry(00500,end_of_activity,bored,video3100831033,au02,3).
entry(00501,end_of_activity,bored,video3100831033,au15,2).
entry(00502,end_of_activity,bored,video3100831033,au17,3).
entry(00503,end_of_activity,bored,video3100831033,au23,1).
entry(00504,end_of_activity,bored,video3100831033,au24,3).
entry(00600,begin_of_activity,bored,video3100831033,au02,4).
entry(00601,begin_of_activity,bored,video3100831033,au17,4).
entry(00602,begin_of_activity,bored,video3100831033,au24,4).
entry(00700,end_of_activity,bored,video3100831033,au02,4).
entry(00701,end_of_activity,bored,video3100831033,au17,4).
entry(00702,end_of_activity,bored,video3100831033,au24,4).
entry(00800,begin_of_activity,bored,video3100831033,au02,5).
entry(00801,begin_of_activity,bored,video3100831033,au15,3).
entry(00802,begin_of_activity,bored,video3100831033,au17,5).
entry(00803,begin_of_activity,bored,video3100831033,au24,5).
entry(00900,end_of_activity,bored,video3100831033,au02,5).
entry(00901,end_of_activity,bored,video3100831033,au15,3).
entry(00902,end_of_activity,bored,video3100831033,au17,5).
entry(00903,begin_of_activity,bored,video3100831033,au23,2).
entry(00904,end_of_activity,bored,video3100831033,au24,5).
entry(01000,begin_of_activity,bored,video3100831033,au17,6).
entry(01001,end_of_activity,bored,video3100831033,au23,2).
entry(01002,begin_of_activity,bored,video3100831033,au24,6).
entry(01100,end_of_activity,bored,video3100831033,au17,6).
entry(01101,end_of_activity,bored,video3100831033,au24,6).
entry(01200,begin_of_activity,bored,video3100831033,au17,7).
entry(01201,begin_of_activity,bored,video3100831033,au24,7).
entry(01300,end_of_activity,bored,video3100831033,au17,7).
entry(01301,begin_of_activity,bored,video3100831033,au23,3).
entry(01302,end_of_activity,bored,video3100831033,au24,7).
entry(01400,begin_of_activity,bored,video3100831033,au17,8).
entry(01401,end_of_activity,bored,video3100831033,au23,3).
entry(01402,begin_of_activity,bored,video3100831033,au24,8).
entry(01500,begin_of_activity,bored,video3100831033,au15,4).
entry(01501,end_of_activity,bored,video3100831033,au17,8).
