entry(00000,begin_of_process,bored,video1110032053,start,1).
entry(00001,begin_of_activity,bored,video1110032053,au09,1).
entry(00002,begin_of_activity,bored,video1110032053,au10,1).
entry(00003,begin_of_activity,bored,video1110032053,au14,1).
entry(00004,begin_of_activity,bored,video1110032053,au17,1).
entry(00100,end_of_activity,bored,video1110032053,au09,1).
entry(00101,end_of_activity,bored,video1110032053,au10,1).
entry(00102,begin_of_activity,bored,video1110032053,au11,1).
entry(00103,end_of_activity,bored,video1110032053,au14,1).
entry(00104,end_of_activity,bored,video1110032053,au17,1).
entry(00105,begin_of_activity,bored,video1110032053,au24,1).
entry(00200,begin_of_activity,bored,video1110032053,au07,1).
entry(00201,begin_of_activity,bored,video1110032053,au09,2).
entry(00202,begin_of_activity,bored,video1110032053,au10,2).
entry(00203,end_of_activity,bored,video1110032053,au11,1).
entry(00204,begin_of_activity,bored,video1110032053,au17,2).
entry(00205,begin_of_activity,bored,video1110032053,au23,1).
entry(00206,end_of_activity,bored,video1110032053,au24,1).
entry(00300,end_of_activity,bored,video1110032053,au07,1).
entry(00301,end_of_activity,bored,video1110032053,au09,2).
entry(00302,end_of_activity,bored,video1110032053,au10,2).
entry(00303,begin_of_activity,bored,video1110032053,au11,2).
entry(00304,end_of_activity,bored,video1110032053,au17,2).
entry(00305,end_of_activity,bored,video1110032053,au23,1).
entry(00400,begin_of_activity,bored,video1110032053,au07,2).
entry(00401,begin_of_activity,bored,video1110032053,au09,3).
entry(00402,end_of_activity,bored,video1110032053,au11,2).
entry(00403,begin_of_activity,bored,video1110032053,au14,2).
entry(00404,begin_of_activity,bored,video1110032053,au17,3).
entry(00500,begin_of_activity,bored,video1110032053,au06,1).
entry(00501,end_of_activity,bored,video1110032053,au07,2).
entry(00502,end_of_activity,bored,video1110032053,au09,3).
entry(00503,begin_of_activity,bored,video1110032053,au10,3).
entry(00504,end_of_activity,bored,video1110032053,au14,2).
entry(00505,begin_of_activity,bored,video1110032053,au15,1).
entry(00506,end_of_activity,bored,video1110032053,au17,3).
entry(00600,end_of_activity,bored,video1110032053,au06,1).
entry(00601,begin_of_activity,bored,video1110032053,au07,3).
entry(00602,begin_of_activity,bored,video1110032053,au09,4).
entry(00603,end_of_activity,bored,video1110032053,au10,3).
entry(00604,end_of_activity,bored,video1110032053,au15,1).
entry(00605,begin_of_activity,bored,video1110032053,au17,4).
entry(00606,begin_of_activity,bored,video1110032053,au24,2).
entry(00607,begin_of_activity,bored,video1110032053,au43,1).
entry(00700,begin_of_activity,bored,video1110032053,au04,1).
entry(00701,begin_of_activity,bored,video1110032053,au06,2).
entry(00702,end_of_activity,bored,video1110032053,au07,3).
entry(00703,end_of_activity,bored,video1110032053,au09,4).
entry(00704,end_of_activity,bored,video1110032053,au17,4).
entry(00705,end_of_activity,bored,video1110032053,au24,2).
entry(00706,end_of_activity,bored,video1110032053,au43,1).
entry(00800,end_of_activity,bored,video1110032053,au04,1).
entry(00801,end_of_activity,bored,video1110032053,au06,2).
entry(00802,begin_of_activity,bored,video1110032053,au07,4).
entry(00803,begin_of_activity,bored,video1110032053,au09,5).
entry(00804,begin_of_activity,bored,video1110032053,au12,1).
entry(00805,begin_of_activity,bored,video1110032053,au17,5).
entry(00806,begin_of_activity,bored,video1110032053,au43,2).
entry(00900,begin_of_activity,bored,video1110032053,au06,3).
entry(00901,end_of_activity,bored,video1110032053,au07,4).
entry(00902,end_of_activity,bored,video1110032053,au09,5).
entry(00903,begin_of_activity,bored,video1110032053,au10,4).
entry(00904,end_of_activity,bored,video1110032053,au12,1).
entry(00905,end_of_activity,bored,video1110032053,au17,5).
entry(00906,end_of_activity,bored,video1110032053,au43,2).
entry(01000,end_of_activity,bored,video1110032053,au06,3).
entry(01001,begin_of_activity,bored,video1110032053,au07,5).
entry(01002,begin_of_activity,bored,video1110032053,au09,6).
entry(01003,end_of_activity,bored,video1110032053,au10,4).
entry(01004,begin_of_activity,bored,video1110032053,au17,6).
entry(01100,end_of_activity,bored,video1110032053,au07,5).
entry(01101,end_of_activity,bored,video1110032053,au09,6).
entry(01102,begin_of_activity,bored,video1110032053,au10,5).
entry(01103,begin_of_activity,bored,video1110032053,au15,2).
entry(01104,end_of_activity,bored,video1110032053,au17,6).
entry(01200,begin_of_activity,bored,video1110032053,au06,4).
entry(01201,begin_of_activity,bored,video1110032053,au07,6).
entry(01202,begin_of_activity,bored,video1110032053,au09,7).
entry(01203,end_of_activity,bored,video1110032053,au10,5).
