entry(00000,begin_of_process,bored,video5100401029,start,1).
entry(00001,begin_of_activity,bored,video5100401029,au02,1).
entry(00002,begin_of_activity,bored,video5100401029,au04,1).
entry(00003,begin_of_activity,bored,video5100401029,au10,1).
entry(00004,begin_of_activity,bored,video5100401029,au17,1).
entry(00005,begin_of_activity,bored,video5100401029,au24,1).
entry(00006,begin_of_activity,bored,video5100401029,au28,1).
entry(00100,end_of_activity,bored,video5100401029,au02,1).
entry(00101,end_of_activity,bored,video5100401029,au04,1).
entry(00102,end_of_activity,bored,video5100401029,au10,1).
entry(00103,end_of_activity,bored,video5100401029,au17,1).
entry(00104,end_of_activity,bored,video5100401029,au24,1).
entry(00105,end_of_activity,bored,video5100401029,au28,1).
entry(00200,begin_of_activity,bored,video5100401029,au02,2).
entry(00201,begin_of_activity,bored,video5100401029,au07,1).
entry(00202,begin_of_activity,bored,video5100401029,au10,2).
entry(00203,begin_of_activity,bored,video5100401029,au14,1).
entry(00204,begin_of_activity,bored,video5100401029,au17,2).
entry(00205,begin_of_activity,bored,video5100401029,au24,2).
entry(00300,end_of_activity,bored,video5100401029,au02,2).
entry(00301,end_of_activity,bored,video5100401029,au07,1).
entry(00302,end_of_activity,bored,video5100401029,au10,2).
entry(00303,end_of_activity,bored,video5100401029,au14,1).
entry(00304,end_of_activity,bored,video5100401029,au17,2).
entry(00305,end_of_activity,bored,video5100401029,au24,2).
entry(00400,begin_of_activity,bored,video5100401029,au02,3).
entry(00401,begin_of_activity,bored,video5100401029,au10,3).
entry(00402,begin_of_activity,bored,video5100401029,au14,2).
entry(00403,begin_of_activity,bored,video5100401029,au17,3).
entry(00404,begin_of_activity,bored,video5100401029,au24,3).
entry(00405,begin_of_activity,bored,video5100401029,au25,1).
entry(00500,end_of_activity,bored,video5100401029,au02,3).
entry(00501,end_of_activity,bored,video5100401029,au10,3).
entry(00502,end_of_activity,bored,video5100401029,au14,2).
entry(00503,end_of_activity,bored,video5100401029,au17,3).
entry(00504,end_of_activity,bored,video5100401029,au24,3).
entry(00505,end_of_activity,bored,video5100401029,au25,1).
entry(00600,begin_of_activity,bored,video5100401029,au02,4).
entry(00601,begin_of_activity,bored,video5100401029,au10,4).
entry(00602,begin_of_activity,bored,video5100401029,au14,3).
entry(00603,begin_of_activity,bored,video5100401029,au17,4).
entry(00604,begin_of_activity,bored,video5100401029,au24,4).
entry(00700,end_of_activity,bored,video5100401029,au02,4).
entry(00701,end_of_activity,bored,video5100401029,au10,4).
entry(00702,end_of_activity,bored,video5100401029,au14,3).
entry(00703,end_of_activity,bored,video5100401029,au17,4).
entry(00704,end_of_activity,bored,video5100401029,au24,4).
entry(00705,begin_of_activity,bored,video5100401029,au25,2).
entry(00800,begin_of_activity,bored,video5100401029,au10,5).
entry(00801,begin_of_activity,bored,video5100401029,au14,4).
entry(00802,begin_of_activity,bored,video5100401029,au17,5).
entry(00803,begin_of_activity,bored,video5100401029,au24,5).
entry(00804,end_of_activity,bored,video5100401029,au25,2).
entry(00900,end_of_activity,bored,video5100401029,au10,5).
entry(00901,end_of_activity,bored,video5100401029,au14,4).
entry(00902,begin_of_activity,bored,video5100401029,au15,1).
entry(00903,end_of_activity,bored,video5100401029,au17,5).
entry(00904,end_of_activity,bored,video5100401029,au24,5).
entry(01000,begin_of_activity,bored,video5100401029,au04,2).
entry(01001,begin_of_activity,bored,video5100401029,au07,2).
entry(01002,begin_of_activity,bored,video5100401029,au14,5).
entry(01003,end_of_activity,bored,video5100401029,au15,1).
entry(01004,begin_of_activity,bored,video5100401029,au17,6).
entry(01005,begin_of_activity,bored,video5100401029,au24,6).
entry(01006,begin_of_activity,bored,video5100401029,au25,3).
entry(01100,end_of_activity,bored,video5100401029,au04,2).
entry(01101,end_of_activity,bored,video5100401029,au07,2).
entry(01102,end_of_activity,bored,video5100401029,au14,5).
entry(01103,begin_of_activity,bored,video5100401029,au15,2).
entry(01104,end_of_activity,bored,video5100401029,au17,6).
entry(01105,end_of_activity,bored,video5100401029,au24,6).
entry(01106,end_of_activity,bored,video5100401029,au25,3).
entry(01200,end_of_activity,bored,video5100401029,au15,2).
entry(01201,begin_of_activity,bored,video5100401029,au17,7).
entry(01202,begin_of_activity,bored,video5100401029,au24,7).
entry(01300,begin_of_activity,bored,video5100401029,au05,1).
entry(01301,begin_of_activity,bored,video5100401029,au10,6).
entry(01302,begin_of_activity,bored,video5100401029,au14,6).
entry(01303,begin_of_activity,bored,video5100401029,au15,3).
entry(01304,end_of_activity,bored,video5100401029,au17,7).
entry(01305,end_of_activity,bored,video5100401029,au24,7).
entry(01400,end_of_activity,bored,video5100401029,au05,1).
entry(01401,end_of_activity,bored,video5100401029,au10,6).
entry(01402,end_of_activity,bored,video5100401029,au14,6).
entry(01403,end_of_activity,bored,video5100401029,au15,3).
entry(01404,begin_of_activity,bored,video5100401029,au17,8).
entry(01500,end_of_activity,bored,video5100401029,au17,8).
entry(01501,begin_of_activity,bored,video5100401029,au24,8).
entry(01502,begin_of_activity,bored,video5100401029,au25,4).
entry(01600,begin_of_activity,bored,video5100401029,au14,7).
entry(01601,begin_of_activity,bored,video5100401029,au17,9).
entry(01602,end_of_activity,bored,video5100401029,au24,8).
entry(01603,end_of_activity,bored,video5100401029,au25,4).
entry(01700,begin_of_activity,bored,video5100401029,au10,7).
entry(01701,end_of_activity,bored,video5100401029,au14,7).
entry(01702,begin_of_activity,bored,video5100401029,au15,4).
entry(01703,end_of_activity,bored,video5100401029,au17,9).
entry(01704,begin_of_activity,bored,video5100401029,au24,9).
entry(01705,begin_of_activity,bored,video5100401029,au25,5).
entry(01800,end_of_activity,bored,video5100401029,au10,7).
entry(01801,end_of_activity,bored,video5100401029,au15,4).
entry(01802,begin_of_activity,bored,video5100401029,au17,10).
entry(01803,begin_of_activity,bored,video5100401029,au20,1).
entry(01804,end_of_activity,bored,video5100401029,au24,9).
entry(01805,end_of_activity,bored,video5100401029,au25,5).
entry(01900,begin_of_activity,bored,video5100401029,au10,8).
